direccion,localidad,latitud,longitud
"AV BARTOLOME MITRE 122, Avellaneda, Buenos Aires",Avellaneda,-34.65794236678089,-58.371698615263305
"4137 BELGRANO 1050, San Miguel, Buenos Aires",San Miguel,-34.5418955773313,-58.7098969072846
"3194 RECONQUISTA 800, San Miguel, Buenos Aires",San Miguel,-34.569706335283,-58.6943457468151
"4149 ESPANA 800, San Miguel, Buenos Aires",San Miguel,-34.54970149672395,-58.72509183206699
"3081 CARLOS GIAMBIAGGI 2700, San Miguel, Buenos Aires",San Miguel,-34.56677928853556,-58.70534745310465
"FRANCISCO PIENOVI 459, Avellaneda, Buenos Aires",Avellaneda,-34.66137385683147,-58.38815922267293
"GRL HORNOS 130, Avellaneda, Buenos Aires",Avellaneda,-34.68138822095373,-58.34276049988954
"URUGUAY 100, Avellaneda, Buenos Aires",Avellaneda,-34.6745445469116,-58.3821250940887
"CNL MADARIAGA 1100, Avellaneda, Buenos Aires",Avellaneda,-34.6914757099454,-58.35465446051745
"MONTIEL (ESQUINA RUTA PROVINCIAL 11), Punta Indio, Buenos Aires",Punta Indio,-35.2395076070888,-57.2842936914416
"GRL GORRITI 600, Avellaneda, Buenos Aires",Avellaneda,-34.664644599241,-58.3853578346005
"AV BARTOLOME MITRE 3600, Avellaneda, Buenos Aires",Avellaneda,-34.6858315413863,-58.3408762691372
"CABILDO 500, Avellaneda, Buenos Aires",Avellaneda,-34.6772542505726,-58.3908408728052
"GRL PIRAN, Avellaneda, Buenos Aires",Avellaneda,-34.694268729647206,-58.3135010411165
"3035 AZOPARDO 2100, San Miguel, Buenos Aires",San Miguel,-34.5700613059172,-58.6853488945373
"4158 MUNOZ (ENTRE 4163 INT JUAN IRIGOIN Y 4161 PRINGLES), San Miguel, Buenos Aires",San Miguel,-34.53415891146405,-58.717319314982305
"ORTEGA, Avellaneda, Buenos Aires",Avellaneda,-34.689959642902316,-58.311748066127294
"ELIZALDE 600, Avellaneda, Buenos Aires",Avellaneda,-34.6748183225982,-58.3582242115129
"CHACABUCO 100, Avellaneda, Buenos Aires",Avellaneda,-34.6580629425308,-58.3689496739532
"VILLA DE LUJAN 1360, Avellaneda, Buenos Aires",Avellaneda,-34.6973353527079,-58.3551219128354
"AV BARTOLOME MITRE 1600, Avellaneda, Buenos Aires",Avellaneda,-34.6664898288627,-58.3571147858863
"CENTENARIO URUGUAYO 1600, Avellaneda, Buenos Aires",Avellaneda,-34.7061994610994,-58.3440930028473
"CMTE LUCENA 5700, Avellaneda, Buenos Aires",Avellaneda,-34.7080866044196,-58.3344291929214
"ALMTE SOLIER 6000, Avellaneda, Buenos Aires",Avellaneda,-34.7053634011088,-58.3251307696802
"MANUEL CORVALAN 1700, Avellaneda, Buenos Aires",Avellaneda,-34.7142590683362,-58.3396100412122
"PAYSANDU 300, Avellaneda, Buenos Aires",Avellaneda,-34.704268048007,-58.3221625460815
"BRAGADO (ENTRE GRL PIRAN Y BAHIA BLANCA), Avellaneda, Buenos Aires",Avellaneda,-34.69898849555045,-58.3170801030643
"SAN PEDRO 400, Avellaneda, Buenos Aires",Avellaneda,-34.6809850583704,-58.3378097555107
"JOSE E RODO 28, Avellaneda, Buenos Aires",Avellaneda,-34.70389649940001,-58.31968066947988
"CAMPICHUELO 6000, Avellaneda, Buenos Aires",Avellaneda,-34.7172775070089,-58.3375631158698
"JOSE ALVAREZ CONDARCO 100, Avellaneda, Buenos Aires",Avellaneda,-34.7012534766865,-58.3225071599304
"CNL BRANDSEN 6200, Avellaneda, Buenos Aires",Avellaneda,-34.703361440266,-58.3211222546042
"MANUEL ROSETTI 100, Avellaneda, Buenos Aires",Avellaneda,-34.6635193517765,-58.3779947629893
"LAMBARE 400, Avellaneda, Buenos Aires",Avellaneda,-34.6720765044244,-58.3574164875034
"BAHIA BLANCA 600, Avellaneda, Buenos Aires",Avellaneda,-34.6970864292557,-58.3137957494431
"CNL BRANDSEN 5800, Avellaneda, Buenos Aires",Avellaneda,-34.7000995307084,-58.3251059166214
"GRL PAZ 19, Avellaneda, Buenos Aires",Avellaneda,-34.6658808935003,-58.361961514773554
"LOMAS DE ZAMORA 93, Avellaneda, Buenos Aires",Avellaneda,-34.6995177705348,-58.320830417379455
"SAN MARTIN 900, Avellaneda, Buenos Aires",Avellaneda,-34.6633106542168,-58.3650725746837
"BELLA VISTA, San Miguel, Buenos Aires",San Miguel,-34.59100175714855,-58.72602521262339
"LAS FLORES, Avellaneda, Buenos Aires",Avellaneda,-34.69156313851355,-58.3028667479425
"PERGAMINO 600, Avellaneda, Buenos Aires",Avellaneda,-34.6895607143566,-58.3466832120214
"DR ESTANISLAO S ZEBALLOS 6100, Avellaneda, Buenos Aires",Avellaneda,-34.7002934478415,-58.3175938694312
"LAPRIDA 36, Avellaneda, Buenos Aires",Avellaneda,-34.66361012488191,-58.36205991028154
"CNL BRANDSEN 6300, Avellaneda, Buenos Aires",Avellaneda,-34.7046985379044,-58.3193927195914
"GRL PAZ 142, Avellaneda, Buenos Aires",Avellaneda,-34.666505761275545,-58.36285923646952
"RECONQUISTA 2000, Avellaneda, Buenos Aires",Avellaneda,-34.6890103179088,-58.3720745014059
"LOBOS 41, Avellaneda, Buenos Aires",Avellaneda,-34.69866938030009,-58.32342707238685
"12 DE OCTUBRE 53, Avellaneda, Buenos Aires",Avellaneda,-34.664243761155525,-58.36126928269027
"HELGUERA 400, Avellaneda, Buenos Aires",Avellaneda,-34.678534869895,-58.3762381300146
"RAQUEL ESPANOL 300, Avellaneda, Buenos Aires",Avellaneda,-34.703020208492,-58.3120819910089
"GRL JOSE MARIA ACHA 700, Avellaneda, Buenos Aires",Avellaneda,-34.6866078189842,-58.3502553564059
"ESPANA, Avellaneda, Buenos Aires",Avellaneda,-34.66110738668765,-58.3677293389999
"BAHIA BLANCA 622, Escobar, Buenos Aires",Escobar,-34.410736742117656,-58.76495512999949
"MANUEL CORVALAN, Avellaneda, Buenos Aires",Avellaneda,-34.70037886474892,-58.323490942841694
"SAN NICOLAS 5700, Avellaneda, Buenos Aires",Avellaneda,-34.6914456452572,-58.3138883593869
"WASHINGTON 200, Avellaneda, Buenos Aires",Avellaneda,-34.6891554455807,-58.332157069241
"JOSE ALVAREZ CONDARCO 55, Avellaneda, Buenos Aires",Avellaneda,-34.70173440758509,-58.32307039337396
"COTAGAITA 300, Avellaneda, Buenos Aires",Avellaneda,-34.7009787739001,-58.3261249379897
"ARMENIA 200, Avellaneda, Buenos Aires",Avellaneda,-34.6887475339543,-58.3326453585435
"TTE CNL CAJARAVILLE 1122, Avellaneda, Buenos Aires",Avellaneda,-34.690863210297685,-58.37386439136879
"GRL PIRAN 100, Avellaneda, Buenos Aires",Avellaneda,-34.7003133466797,-58.3196887612248
"SAN MARTIN 1307, Avellaneda, Buenos Aires",Avellaneda,-34.66681422933195,-58.361610668363866
"PJE LA PAZ, Avellaneda, Buenos Aires",Avellaneda,-34.67048476402795,-58.35133879548245
"GRL IRIATE 100, Avellaneda, Buenos Aires",Avellaneda,-34.6703307531886,-58.3522800343269
"HELGUERA 1044, Avellaneda, Buenos Aires",Avellaneda,-34.683763961014265,-58.369992364223634
"GRL PAZ, Avellaneda, Buenos Aires",Avellaneda,-34.6654623524829,-58.36136267277609
"AV BARTOLOME MITRE 1031, Avellaneda, Buenos Aires",Avellaneda,-34.66422725446472,-58.36174319170778
"RIVERO (ENTRE CMTE JOSE GIRIBONE Y LEBENSHON), Avellaneda, Buenos Aires",Avellaneda,-34.66571834159415,-58.3817098953988
"3174 AVENIDA FRANCIA 1022, San Miguel, Buenos Aires",San Miguel,-34.5662344421316,-58.68472978559581
"GRL VILLEGAS 4600, Avellaneda, Buenos Aires",Avellaneda,-34.6975781230156,-58.3390921964833
"AV BARTOLOME MITRE 1039, Avellaneda, Buenos Aires",Avellaneda,-34.66418770106014,-58.36182352280254
"MONTES DE OCA 500, Avellaneda, Buenos Aires",Avellaneda,-34.6559635583695,-58.3642897847268
"12 DE OCTUBRE 443, Avellaneda, Buenos Aires",Avellaneda,-34.660432377688096,-58.35602056733395
"AV CRISOLOGO LARRALDE 5000, Avellaneda, Buenos Aires",Avellaneda,-34.70130059627046,-58.34106021719186
"ALMTE CORDERO 100, Avellaneda, Buenos Aires",Avellaneda,-34.666314309865975,-58.37682370883066
"CHACABUCO 300, Avellaneda, Buenos Aires",Avellaneda,-34.656461176501,-58.3671703244706
"DORREGO 1771, Avellaneda, Buenos Aires",Avellaneda,-34.66933216101704,-58.358205212516246
"CHACABUCO (ESQUINA FLORENTINO AMEGHINO), Avellaneda, Buenos Aires",Avellaneda,-34.656461176501,-58.3671703244706
"DOMINGO MARTINTO 300, Avellaneda, Buenos Aires",Avellaneda,-34.7090966461804,-58.316116815555
"CALLE SN, Punta Indio, Buenos Aires",Punta Indio,-35.24886546836895,-57.273795445067805
"AV BARTOLOME MITRE 4229, Avellaneda, Buenos Aires",Avellaneda,-34.690028741294434,-58.33602877745875
"LAS FLORES 200, Avellaneda, Buenos Aires",Avellaneda,-34.7021809914479,-58.3152638737449
"9 DE JULIO 100, Avellaneda, Buenos Aires",Avellaneda,-34.6638790844877,-58.362432508237
"PARAGUAY 100, Avellaneda, Buenos Aires",Avellaneda,-34.6823917852166,-58.3867590290502
"TTE CNL LAFUENTE 3000, Avellaneda, Buenos Aires",Avellaneda,-34.6911507109666,-58.3569523746832
"12 DE OCTUBRE 700, Avellaneda, Buenos Aires",Avellaneda,-34.6582906854517,-58.3530419965225
"CNL MADARIAGA 280, Avellaneda, Buenos Aires",Avellaneda,-34.68395877411431,-58.3456988443499
"CMTE SPURR 100, Avellaneda, Buenos Aires",Avellaneda,-34.6728179784173,-58.3515871101934
"FLORENTINO AMEGHINO 600, Avellaneda, Buenos Aires",Avellaneda,-34.65959228776983,-58.36433512409886
"3226 RIO TURBIO 600, San Miguel, Buenos Aires",San Miguel,-34.5757795114598,-58.7085590030205
"JOSE M ESTRADA 1545, Avellaneda, Buenos Aires",Avellaneda,-34.66538774640881,-58.35489232700556
"4101 HAEDO 1264, San Miguel, Buenos Aires",San Miguel,-34.552589924952365,-58.69980988036982
"4150 SAN LORENZO 1800, San Miguel, Buenos Aires",San Miguel,-34.54158115654887,-58.70094741366136
"CESAR MALNATTI 1000, San Miguel, Buenos Aires",San Miguel,-34.542154884821,-58.6984471205618
"3067 SOURDEAUX 1800, San Miguel, Buenos Aires",San Miguel,-34.58829686866548,-58.71932798845763
"DR ESTANISLAO S ZEBALLOS 1000, Avellaneda, Buenos Aires",Avellaneda,-34.662087997482,-58.3599370865814
"JOSE MARIA FREIRE 45, Avellaneda, Buenos Aires",Avellaneda,-34.6728763751546,-58.38242453744127
"CMTE SPURR 600, Avellaneda, Buenos Aires",Avellaneda,-34.6770428064295,-58.3574275109825
"4117 CONESA 800, San Miguel, Buenos Aires",San Miguel,-34.5438144173397,-58.7002349955948
"RN 205 - AV HIPOLITO YRIGOYEN (ESQUINA ENTRE RIOS), Avellaneda, Buenos Aires",Avellaneda,-34.6780746994554,-58.3834373995866
"JUAN B JUSTO 500, Avellaneda, Buenos Aires",Avellaneda,-34.6891521270434,-58.3257408253053
"PUERTO DE PALOS 800, Avellaneda, Buenos Aires",Avellaneda,-34.6971736133869,-58.341817522649
"PERU 1800, Avellaneda, Buenos Aires",Avellaneda,-34.6738460219696,-58.3866520455994
"4158 MUNOZ 1982, San Miguel, Buenos Aires",San Miguel,-34.536864662210476,-58.71360063099477
"LA RIOJA 2100, Avellaneda, Buenos Aires",Avellaneda,-34.6756233076524,-58.3908724262762
"3170 20 DE JUNIO, San Miguel, Buenos Aires",San Miguel,-34.56665805830649,-58.68142668332566
"BOLIVAR 6100, Avellaneda, Buenos Aires",Avellaneda,-34.69440334867168,-58.31664548708595
"DR ESTANISLAO S ZEBALLOS 5600, Avellaneda, Buenos Aires",Avellaneda,-34.6966505195786,-58.3226982865237
"GRL LUIS MARIA CAMPOS 2300, Avellaneda, Buenos Aires",Avellaneda,-34.6745607715386,-58.3544981848349
"CESAR MALNATTI 1900, San Miguel, Buenos Aires",San Miguel,-34.540950235186735,-58.7001261664621
"CNL JOSE RONDEAU 1465, Avellaneda, Buenos Aires",Avellaneda,-34.71461186751391,-58.3360253512512
"LOMAS DE ZAMORA 71, Avellaneda, Buenos Aires",Avellaneda,-34.69975239856872,-58.32111142720142
"GRL PAZ 140, Avellaneda, Buenos Aires",Avellaneda,-34.66651964120174,-58.36287922222417
"DR ESTANISLAO S ZEBALLOS 5900, Avellaneda, Buenos Aires",Avellaneda,-34.6985741939765,-58.3197130142566
"DE LA PENA 1500, Avellaneda, Buenos Aires",Avellaneda,-34.7100652552839,-58.3400649605245
"MARIANO MORENO 5400, Avellaneda, Buenos Aires",Avellaneda,-34.6970369049457,-58.3245783631258
"MARIO BRAVO 562, Avellaneda, Buenos Aires",Avellaneda,-34.67496710438482,-58.38930609216589
"3051 MOINE 2500, San Miguel, Buenos Aires",San Miguel,-34.5717148280253,-58.6937804012083
"3188 MTRA CLORINDA MUNZON 900, San Miguel, Buenos Aires",San Miguel,-34.5686181682479,-58.6904423057733
"MARTIN FIERRO 300, Avellaneda, Buenos Aires",Avellaneda,-34.7002822216834,-58.3154769787238
