direccion,localidad,latitud,longitud,latitud_verificada,longitud_verificada,Distancia,Estan cerca
"AV BOSQUES 2700, Florencio Varela, Buenos Aires",Florencio Varela,-34.8104816570463,-58.22964504984735,-34.80833518208645,-58.227921748539345,285.60,No
"220 SAN JUAN 74, Florencio Varela, Buenos Aires",Florencio Varela,-34.80688370898215,-58.27675002815287,-34.806506433792734,-58.27702919086817,49.03,Si
"ANCHORENA 1181, Baradero, Buenos Aires",Baradero,-33.808829922768396,-59.50292775964548,-33.80909509600629,-59.503465353828474,57.82,Si
"CALLE 34 1090, General Alvarado, Buenos Aires",Miramar,-38.26644366966946,-57.84160334221234,-38.26700459495411,-57.842083533009955,75.12,Si
"CALLE 22 700, General Alvarado, Buenos Aires",Miramar,-38.2677272601488,-57.8329217784653,-38.268197756720866,-57.833785433009794,91.87,Si
"CALLE 55 BUENOS AIRES 5000, General San Martín, Buenos Aires",General San Martín,-34.5463463908964,-58.5527427324099,-34.54632159897925,-58.55274326204584,2.75,Si
"GRL OCAMPO 3200, La Matanza, Buenos Aires",La Matanza,-34.6771772650348,-58.5574635861051,-34.67688925892887,-58.557438611245,32.03,Si
"AVELLANEDA 700, La Matanza, Buenos Aires",La Matanza,-34.67239231987576,-58.53908720825869,-34.64750549917977,-58.56730779087621,3783.34,No
"RINCON 400, Lomas de Zamora, Buenos Aires",Lomas de Zamora,-34.7414110863152,-58.3896576626143,-34.741343575488436,-58.389795548542786,14.68,Si
"JUAN BAUTISTA ALBERDI 1600, Vicente López, Buenos Aires",Vicente López,-34.511300731004,-58.4922855057213,-34.51107365837626,-58.49223892951279,25.55,Si
"AV LA AVIACION 1231, Almirante Brown, Buenos Aires",Almirante Brown,-34.865660607756624,-58.38677134247924,-34.86557071381206,-58.386982735043404,21.75,Si
"R DE ESCALADA 46, La Matanza, Buenos Aires",La Matanza,-34.63905522450311,-58.55997826878636,-34.6388894928246,-58.56023027738373,29.53,Si
"24 DE OCTUBRE 641, Ituzaingó, Buenos Aires",Ituzaingo,-34.659791605557864,-58.66302329900425,-34.65946812348925,-58.663165062040065,38.17,Si
"CAMACUA (ESQUINA GRL FELIX DE OLAZABAL), Ituzaingó, Buenos Aires",Ituzaingo,-34.6558151682178,-58.6641946381337,-34.65577144614452,-58.66419623320452,4.85,Si
"CONVENCION 1407, La Matanza, Buenos Aires",La Matanza,-34.695712703985,-58.506814302352126,-34.69572621226854,-58.50670906706113,9.76,Si
"COLETTA ANTONIO 829, Campana, Buenos Aires",Campana,-34.16885892262835,-58.96024791517884,-34.16849237534577,-58.96033213838101,41.39,Si
"ORTIZ DE ROSAS BV (ESQUINA CALLE 25 BIS), Brandsen, Buenos Aires",Coronel Brandsen,-35.1751401518213,-58.2159315204996,-35.17506237575827,-58.21591433317759,8.77,Si
"BELGRANO MANUEL 130, Brandsen, Buenos Aires",Coronel Brandsen,-35.162690580888174,-58.23770947033942,-35.162619678201956,-58.237185248520866,48.40,Si
"LOS NOGALES (ENTRE LOS LAURELES Y LOS PERALES), Saladillo, Buenos Aires",Saladillo,-35.6121316631203,-59.791125396257954,-35.61206400643165,-59.79111326671395,7.59,Si
"ELIAS VEDOYA 3632, Lanús, Buenos Aires",Lanus,-34.72494014594178,-58.40640046086712,-34.72515120351912,-58.40598046018701,45.03,Si
"C COLON 1077, Luján, Buenos Aires",Luján,-34.565925706974404,-59.11539102630321,-34.56586802781812,-59.11560788359534,20.90,Si
"VICTOR VERGANI 700, Pilar, Buenos Aires",Pilar,-34.4592292873655,-58.9103308497276,-34.4589819716697,-58.910427117872075,28.83,Si
"CALLE 791 (ENTRE CALLE 2 Y CALLE 4), General Pueyrredón, Buenos Aires",Chapadmalal,-38.1995506184265,-57.681299048747206,-38.199562635644504,-57.68133639739585,3.53,Si
"COSME BECCAR 31, San Isidro, Buenos Aires",San Isidro,-34.47350098982948,-58.511873252200935,-34.47321453336268,-58.51179037554271,32.68,Si
"C 90 - LEANDRO N ALEM 2942, General Pueyrredón, Buenos Aires",Mar del Plata,-38.021512158876924,-57.530942190256056,-38.02148368251992,-57.530893210210884,5.34,Si
"MADRID 100, Lomas de Zamora, Buenos Aires",Lomas de Zamora,-34.7692609229086,-58.4377153104088,-34.76912442087045,-58.43761790621265,17.57,Si
